bad_reward,depth,update_rule,event_round,prior_good_traversals,paired_seeds,true_safe_value,true_risky_value,final_lock_probability,final_lock_ci_low,final_lock_ci_high,ever_demoted_probability,ever_demoted_ci_low,ever_demoted_ci_high,mean_first_demotion_delay,mean_post_event_risky_visits,mean_final_start_value,exact_full_return_lock_probability,mc_minus_exact_if_depth_one
-5.0,1,constant_alpha,164,164,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.75865,-0.030539148031999957,0.9999999999962434,3.75655062612168e-12
-5.0,1,sample_average,168,168,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,30.39665,0.9699087753193198,0.0,0.0
-5.0,1,constant_alpha,168,168,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.60335,-0.06329600383999996,0.9999999999997805,2.1949109196839345e-13
-5.0,1,sample_average,172,172,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,26.51825,0.9699272036580647,0.0,0.0
-5.0,1,constant_alpha,172,172,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.48175,-0.08958895999999997,0.9999999999999916,8.43769498715119e-15
-5.0,1,sample_average,176,176,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,22.6431,0.9699461105971626,0.0,0.0
-5.0,1,constant_alpha,176,176,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.3569,-0.11698755199999995,1.0000000000000002,-2.220446049250313e-16
-5.0,1,sample_average,180,180,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,18.7406,0.9699608476654689,0.0,0.0
-5.0,1,constant_alpha,180,180,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.2594,-0.13919369599999995,1.0,0.0
-5.0,1,sample_average,184,184,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,14.8179,0.969972524800181,0.0,0.0
